,id,user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,retweets,favorites,is_retweet
10389,1436558171028574209,R-getal en sterfte door vaccins,,Alter ego to keep the haters away from my professional one. Living in a totalitarian Westblock country. Russians pity us.,2021-02-18 08:40:46,282,470,1372,False,2021-09-11 05:12:12,"#ivermictine #PfizerBioNTech 
 Ivermectin was found as a blocker of viral replicase, protease and human TMPRSS2,

T… https://t.co/tfexsjP2dV","['ivermictine', 'PfizerBioNTech']",Twitter for Android,0,0,False
2382,1346311846781976576,Global Media,Worldwide,Media/News/Publishing,2015-06-25 16:12:48,580,1013,4188,False,2021-01-05 04:25:32,"Once again. What Happened to #Tiffany Dover?

#TiffanyDover - the #nurse who collapsed during a TV event at #CHI… https://t.co/DI3uctnwZl","['Tiffany', 'TiffanyDover', 'nurse', 'CHI']",Twitter Web App,2,7,False
8435,1398675196094074884,David Griffiths,Cheshire,Medical communicator with a research background in virology/oncology. Mainly using Twitter for news and views,2011-04-18 11:31:18,90,247,1237,False,2021-05-29 16:18:47,Grateful after having my first dose of the #PfizerBioNTech vaccine today. Staff &amp; volunteers at Andrews Pharmacy in… https://t.co/StQgVfDvrn,['PfizerBioNTech'],Twitter for Android,1,3,False
1102,1342457899050815489,"Monica Sheth, MD",New York,Chief of Breast Imaging @NYUWinthropHosp • Director of Quality & Safety • Radiologist • Educator • Tweets = personal thoughts,2015-01-21 20:53:58,2405,1346,15527,False,2020-12-25 13:11:19,"Sharing the ingredients list for those interested. Consider all the products we ingest, put on/in our bodies &amp; othe… https://t.co/DkCwf5m9vO",,Twitter for iPhone,0,0,False
10538,1442084364611948544,Your Silence Speaks Volumes,Mad World,"Sick of the BS. I’m not a conspiracy theorist, I do my research, perhaps you should too…  #JohnsonOut",2020-09-22 15:43:14,729,424,1480,False,2021-09-26 11:11:19,"@TiceRichard @talkRADIO Guess who owns the laboratory in Wuhan?
#GSKの実績 and guess who they own #PfizerBiontech 
You… https://t.co/nPJQspmbiC","['GSKの実績', 'PfizerBiontech']",Twitter for Android,0,0,False
5014,1356024611603771399,'canis lupis',North of the '49th'.,"Chaotic/ Good are you? Taurus.
Blocked by Dana Loesh! Ouch....LOL!",2019-01-04 03:24:48,2551,2552,55,False,2021-01-31 23:40:35,I am tired of hearing that states &amp; provinces can't get enuff shots in the arm. Lack of supplies etc. Yet know one… https://t.co/ZZ50RnFAMz,,Twitter Web App,0,0,False
7774,1380494452158963716,Judith L.,US 🍎🦞🇺🇸🇫🇷👩🏾‍💻📊⛵️♻️🌊,"Wicked appreciation of 360° critical analysis. My ""The World According to Twitter"" tweet: If you can't be good be careful; if you can't be careful be good!",2008-11-27 07:54:25,98,146,35798,False,2021-04-09 12:15:00,"Kati Kariko Helped Shield the World From the Coronavirus https://t.co/t2OZVqY3Yo 
#KatiKariko #DrKatalinKariko… https://t.co/u945MyUgJW","['KatiKariko', 'DrKatalinKariko']",Twitter Web App,0,0,False
9039,1412866524730306560,"Meriem Bekliz, PhD",,"Scientific collaborator, Centre for Emerging Viral Diseases, Division of Infectious Diseases.
An empty brain is the devil's shop
The early bird catches the worm",2018-08-22 15:53:15,36,145,32,False,2021-07-07 20:10:03,"#Israël data reportedly shows drop in efficacy of #PfizerBiontech #VACCINE as #Delta (#SARSCoV2, #COVID19) variant… https://t.co/tPScjLqLvr","['Israël', 'PfizerBiontech', 'VACCINE', 'Delta', 'SARSCoV2', 'COVID19']",Twitter for Android,0,0,False
8038,1382261857239629824,João Maurício-Muir,"Newcastle Upon Tyne, England",Portuguese 🇵🇹 living in the UK 🇬🇧 Senior Scientist @CovidhubNE @NewcastleHosps. Final year PhD at @UniofNewcastle. Opinions are my own 🇪🇺🏳️‍🌈,2020-03-10 17:56:40,94,495,920,False,2021-04-14 09:18:02,"And just like that, yesterday I completed my #CovidVaccine cycle with the 2nd dose of the #PfizerBioNTech. Thank yo… https://t.co/oAcDSkm2dv","['CovidVaccine', 'PfizerBioNTech']",Twitter for iPhone,0,3,False
4165,1351989831774121984,Léa Saindoux,Là,"Kafra and proud. Créative contente. Fainéante minutieuse. Paranoïaque idéaliste. 
Un soir, j'ai offert une bière à John Howe.",2009-09-07 19:46:26,120,66,25248,False,2021-01-20 20:27:49,"Right after #Castex last presser, we were invited to check with our GP how at risk we were (I am ++++ but still, le… https://t.co/bFuuQ1RoDy",['Castex'],Twitter Web App,0,1,False
2874,1347823768475987974,babak sarfaraz,,,2009-07-28 17:53:48,2238,785,139147,False,2021-01-09 08:33:22,"@IranPanoramaNew .@antonioguterres 
#Iran Khamenei’s ban on the purchase of #PfizerBioNTech  #COVIDvaccines is a… https://t.co/xGJWAbnehA","['Iran', 'PfizerBioNTech', 'COVIDvaccines']",Twitter Web App,1,1,False
1379,1341459988989026306,steven park,"Edinburgh, Scotland","interests include medicine and sports performance (dabbler only)! Sprints. Aspiring to consider world issues with a neutral, balanced and empathetic approach",2019-06-25 21:59:58,27,82,644,False,2020-12-22 19:05:59,"3 hours since my first #PfizerBioNTech #CovidVaccination 
For me, no side effects noted thus far. The widely descri… https://t.co/W8ImZqL90m","['PfizerBioNTech', 'CovidVaccination']",Twitter for iPhone,0,3,False
7487,1377258836399157251,AllSides,United States,Tired of media bias? Follow us for a more balanced news feed. Free yourself from filter bubbles. | Support Balanced News 👉🏼 https://t.co/sqS8Ajz0s0,2012-05-08 21:36:50,19268,496,7258,False,2021-03-31 13:57:49,Pfizer Says Its Vaccine is 100% Effective in Children Ages 12-15 | Compare reporting by @NBCNews @NPR @WashTimes… https://t.co/QvhyrOv6i4,,Twitter Web App,1,2,False
4787,1355197901425803265,Nora    ⭐⭐,"Somewhere in France, The Alps.","Angel.  Angel?   Angel!       And everything else...               
Angel: ""Forever. That's the whole point."" Buffy: ""How's forever? Does forever work for you?""",2009-07-10 09:50:10,568,385,816,False,2021-01-29 16:55:32,"Today was a very good day! Drove my mom to her 1st vaccine injection! 💉 👍 Now, I'll be really relieved in one month… https://t.co/Yvt4Y0bAnn",,Twitter for Android,0,1,False
7188,1374856979986923526,Jon Nelson,"Austin, TX","🎙JTrains Coach Podcast 🧛🏾‍♂️ B.A. Sports Management 💀 NASM CPT, PES, CES, BCS. Ex XPS + 17 certs ☠️ JonN for 15% off https://t.co/sujCGnHPur",2017-08-11 23:09:04,473,547,1237,False,2021-03-24 22:53:42,"5:52 pm cst had a smokers cough, went away, feels like my arms are being pulled away. Mutating into zombie finally… https://t.co/Myjq3gjsqk",,Twitter for iPhone,0,2,False
3882,1351016476665405445,Curly,Dubai ,,2010-10-12 08:40:08,49,175,2429,False,2021-01-18 04:00:03,@krisfade listening to you this morning about the vaccine. My understanding was the #PfizerBioNTech vaccine wasn't… https://t.co/zvFvfISGZq,['PfizerBioNTech'],Twitter for Android,0,0,False
5660,1361974032346791937,Dave Keating,"Brussels, Belgium",American-European journalist and moderator covering EU politics in Brussels,2008-05-08 19:08:21,28167,3095,4611,True,2021-02-17 09:41:28,BREAKING: The Commission had reached a deal with #PfizerBioNTech to supply the EU with an additional 200 million do… https://t.co/DU31rutGP0,['PfizerBioNTech'],Twitter Web App,15,51,False
6307,1365889123609759751,Loves Truth & Art #FreeSpeech,"Northern California, USA","Looking for TRUTH talk first. 
Art talk 2nd. Career in artwork, illustration & design. 
🎨 Gallery site: https://t.co/Tkl7Qqa2mG",2015-08-15 22:55:37,1898,3914,7030,False,2021-02-28 04:58:38,"@TeodroseFikre @uTobian @ghionjournal Do NOT Get JABBED Until You See THIS!!
https://t.co/tR80wumHju 
See the massi… https://t.co/yuU6GixbpU",,Twitter Web App,1,3,False
4565,1353753516259627011,David Salmon 🇬🇧 #rEUnion #BLM,Rhuddlan,"Proud Englishman, pro-eu, live in gods country (Wales), struggling to understand what has happened to my country and Parliament.",2012-07-01 19:30:41,216,406,6650,False,2021-01-25 17:16:04,Wow 10% of the population have been #vaccinated That’s amazing! #Covid_19 #nhs #PfizerBioNTech #astrazenica #nhs… https://t.co/QYIgBoMUPP,"['vaccinated', 'Covid_19', 'nhs', 'PfizerBioNTech', 'astrazenica', 'nhs']",Twitter for iPhone,0,0,False
4519,1353306415541194753,🕷Financial Bear 3.5%,#KeepFightingMichael,"Pro the EU for the opportunities it offers citizens.Lower tax,less authority, power to the people not politicians. Love coffee,running, Formula-E",2012-03-10 08:03:36,1683,925,29753,False,2021-01-24 11:39:27,.@matthancock you are lying. The UK has not vaccinated 5.4 million people. Vaccination requires 2 shots of vaccine… https://t.co/Dm3TvZdj1f,,Twitter Web App,0,0,False
4476,1353595610247680002,Marion cole,,,2013-06-05 14:15:02,15,89,1853,False,2021-01-25 06:48:36,"@WYSIW This 👇👇👇👇
BalanceIsKey.   
@growlabssa
·
Jan 20
Dear #Pfizer #PfizerBioNTech #PfizerVaccine care to comment?… https://t.co/hcCbgHRAdW","['Pfizer', 'PfizerBioNTech', 'PfizerVaccine']",Twitter Web App,0,0,False
9436,1421237055523278851,Mr. C64,Italy,"Passionate about C and C++, computer programming, C64 and Amiga, retro-computing, aircraft, spacecraft, classical art, math and science. He/Him.",2012-01-16 11:06:20,1010,1064,2657,False,2021-07-30 22:31:34,@wolfblitzer @CNNSitRoom Interesting coverage of the Delta variant threat. Since scientists know the genetic code o… https://t.co/L3AIy8i6Oh,,Tweetbot for iΟS,0,0,False
1883,1344168664032043009,#HelloMyNameIsGrace,"Antrim, United Kingdom","Believe that you can and you're half way there 🥰👌
UUJ Alumni #SportScience👩‍🎓 UUM #StudentNurse #UlsterNurse👩‍⚕️ Member of the @WeStudentNurse team :)",2011-01-01 01:06:33,836,1851,1453,False,2020-12-30 06:29:17,"Don't know rather I've been hit by a bus, the effects of my third nightshift or me developing every common side eff… https://t.co/hR4aOmshsK",,Twitter for Android,0,4,False
4001,1351873146001842180,michael grey,Vancouver,"""our struggle is not against flesh & blood,but against rulers, authorities, the powers of this dark world & against the spiritual forces of evil""",2011-03-30 06:04:03,3491,5000,47916,False,2021-01-20 12:44:09,"@charlesadler Hmm Sounds Like U Think #Canada should 
 ""Act"" Like #Trump  &amp; Demand ""Canada 1st"" ? 
the #CEO of… https://t.co/8Dklnbq0zi","['Canada', 'Trump', 'CEO']",Twitter Web App,1,4,False
6189,1365004125382049793,Martina Mampieri,Jerusalem,"#FirstGen Historian, Buberian @HebrewU • Author of Living under the Evil Pope @Brill_Jewish (2020) • Co-Ed @HJudaic • Jewish history, #books, #twitterstorians",2018-03-13 13:22:20,1903,3975,5826,False,2021-02-25 18:21:58,"Fully vaccinated thanks to @ClalitHealth! ✌️🇮🇱

Lavander, Palestinian pottery, and cats on the way back home.… https://t.co/n1czIRAx6Y",,Twitter for Android,0,11,False
8076,1381901079772807168,Prof. Guy Ashton,,Professor of tropical medicine and infectious diseases.,2020-03-18 07:59:46,238,249,32754,False,2021-04-13 09:24:26,"Had my second jab. 🎉
Just flirting with the nurses for fifteen mins before shooting off to work. 💉🏅
#PfizerBioNTech https://t.co/I5h98ywj0Q",['PfizerBioNTech'],Twitter for Android,0,12,False
5342,1358518613888671746,Superhero Leadership Academy,"Miami, FL","Providing education empowerment, programming & resources that enable at-risk youth to become Superheroes in their communities 🧠❤️💪#SuperheroesExistWithinUs",2017-08-14 00:10:24,1246,4958,480,False,2021-02-07 20:50:52,#SuperheroCulture @JacksonHealth Safety is our superpower!! #ScienceSolves @pfizer proves through #PfizerBiontech… https://t.co/ioX5h95Dff,"['SuperheroCulture', 'ScienceSolves', 'PfizerBiontech']",Twitter for iPhone,1,1,False
10292,1430956896320696327,Catharina Joanna,Somewhere over the rainbow,"Mom of 2 girls, married to their dad, tooth fairy, reiki healer, chakra & crystals, nature lover, pescotarian, preaching love, tree hugger and herb addict.",2009-07-08 12:22:22,41,89,549,False,2021-08-26 18:14:44,What I said. 👇🏻 #natuurlijkimmuun #SARSCoV2 #immuniteit #Israel #PfizerBiontech #nos #natuurlijknatuurlijk https://t.co/qC1U1roDBZ,"['natuurlijkimmuun', 'SARSCoV2', 'immuniteit', 'Israel', 'PfizerBiontech', 'nos', 'natuurlijknatuurlijk']",Twitter for iPhone,0,0,False
2839,1347898276843040768,kambiz mahmoudpour - مسول انجمن آزادی ادیان,Denmark,"My heart beating for peace, freedom & equality",2009-08-26 18:38:03,4540,4975,164940,False,2021-01-09 13:29:26,".@Maryam_Rajavi-#Iran
Khamenei’s Red Crescent announced a ban on the import of 150,000 #PfizerBioNTech #vaccines.Th… https://t.co/rkzGGAwv4s","['Iran', 'PfizerBioNTech', 'vaccines']",Twitter Web App,8,7,False
211,1338163623764525058,Kathleen Sullivan,Sacramento,"Retired, disabled... battling Multiple Sclerosis.",2017-02-05 16:02:29,876,735,198727,False,2020-12-13 16:47:24,"#PfizerBioNTech #PfizerCovidVaccine #VaccineRollout

38 days... https://t.co/yo0ycGAKx6","['PfizerBioNTech', 'PfizerCovidVaccine', 'VaccineRollout']",Twitter Web App,0,1,False
8337,1396467758955737089,Robbie Walsh,"Dublin, Ireland",Daydreamer & night thinker | Music lover & #ManUtd fan | Emergency Medical Controller 🚑 | Predictably unpredictable | #BeKind | Where would you like to start?,2011-04-03 12:17:30,224,177,1166,False,2021-05-23 14:07:13,Mammy Walsh is now fully vaccinated #PfizerBioNTech,['PfizerBioNTech'],Twitter for Android,0,5,False
10919,1457977296720068612,Jonathan Hicap,,"Journalist, Manila Bulletin. Covers news and Hallyu. Covering K-pop since 2009. Former Korea Times correspondent
Email: sangchusan(at)https://t.co/N8GNSmiLuw
#MTAMO",2010-04-02 08:56:23,2011,343,18670,True,2021-11-09 07:44:10,"MANILA BULLETIN: 5,600 minors now vaccinated in #Muntinlupa https://t.co/SK6p3e638z 
#COVID19 #vaccination… https://t.co/EspqIKeOio","['Muntinlupa', 'COVID19', 'vaccination']",Twitter Web App,2,7,False
6225,1364879017166438404,Laura Mann Kevehazi,,"#BREXIT #Conservative 🇬🇧 🇺🇸 🇮🇱 Family is everything. Preventive Medicine & Innovation, Tennis mad 🎾 RT/follows not endorsement",2015-07-18 18:51:50,3512,726,2019,False,2021-02-25 10:04:50,"#PfizerBioNTech shot is so effective it could end the pandemic"" according to study of nearly 1.2 million people in… https://t.co/jDSjTmJCb0",['PfizerBioNTech'],Twitter Web App,0,1,False
2507,1346764796645949443,Ashu pal,,"LET PEOPLE TALK...

The purpose of life is to be Happy",2019-12-27 10:27:37,77,146,8017,False,2021-01-06 10:25:23,"Coronavirus vaccine update: When will corona medicine be ready? @DBTIndia 

#CovidVaccineIndia #modernavaccine… https://t.co/WT40YKM6Kw","['CovidVaccineIndia', 'modernavaccine']",Twitter Web App,0,2,False
8376,1396057903795118084,Free Malaysia Today,Malaysia,Free and Independent #FMTNews Telegram: https://t.co/enS1PLrjQS,2010-01-05 16:17:15,188467,1,0,False,2021-05-22 10:58:36,Taiwan had implied China was to blame for an earlier failed deal with BioNTech. #FMTNews #Taiwan #Fosun… https://t.co/kvSPJdh5qd,"['FMTNews', 'Taiwan', 'Fosun']",Twitter Web App,1,2,False
8434,1398705011899633664,ymediagroup,Canada,"Your daily dose of latest news, alerts and more from Canada's largest South Asian community media group. Contact Number - 416-475-5000",2016-04-23 22:01:00,475,68,38,False,2021-05-29 18:17:16,#European Medicines Agency (#EMA) has approved the use of the #PfizerBioNTech #Covid19 vaccine for children aged 12… https://t.co/Ql7kBOBuho,"['European', 'EMA', 'PfizerBioNTech', 'Covid19']",Twitter Web App,0,0,False
10287,1431077894541832197,T.Lund,"Washington, USA",I want to make a difference,2021-05-20 19:23:59,52,120,2378,False,2021-08-27 02:15:32,Until this whole covid-19 started I had total respect for the FDA CDC not anymore they are trying to deceive the Am… https://t.co/q3iCJ9aFXV,,Twitter for Android,1,0,False
2857,1347865008437420032,Dr. Bu Abdullah 🇦🇪,"Dubai, United Arab Emirates","Chairman of Bu Abdullah Group

Entrepreneur | Philanthropist | Workout Enthusiast 

🏆Young Emarati Entrepreneur 2019",2019-08-31 17:14:32,1101,319,12062,False,2021-01-09 11:17:14,"Dubai opens seventh clinic for Covid-19 #PfizerBioNTech vaccine shots
The centrally-located Al Safa healthcare cent… https://t.co/EikqXQuZ5a",['PfizerBioNTech'],Twitter Web App,3,10,False
5426,1359169960266899462,Jennifer Palma,"Vancouver, BC",Reporter/Anchor @GlobalBC and @BC1. News is the best reality show there is. News tips: Jennifer.palma@globalnews.ca,2011-02-22 22:39:57,4360,146,1438,True,2021-02-09 15:59:05,#COVID19 #vaccine #PfizerVaccine #PfizerBiontech Canada approves Pfizer COVID-19 vaccine label change to 6 doses -… https://t.co/c6ydRkc64n,"['COVID19', 'vaccine', 'PfizerVaccine', 'PfizerBiontech']",Twitter for iPhone,0,3,False
3956,1351405060031459333,Nitin Chopra,Toronto,"PRIME ASIA TV
Entrepreneur
Publisher-Canada Legal Pages
Publisher-Guardian Business Pages
Publisher-WOW GTA !",2013-07-20 19:03:38,168,1134,301,False,2021-01-19 05:44:08,"Side Effects of Vaccine ! 

https://t.co/9eg0olY5VF

@OslerFoundation @OslerHealth @DrMohammadOsler @THP_hospital… https://t.co/B1Q8K70xMU",,Twitter Web App,0,2,False
5429,1359142623907348480,Fat Cat,Belgique,50 Shades of Compliance.,2011-04-04 13:06:53,412,406,117,False,2021-02-09 14:10:27,TRUE !  Before and after #PfizerBiontech vaccination. https://t.co/Pfj0RGkl43,['PfizerBiontech'],Twitter for iPad,0,0,False
3419,1349308160444559360,Healthwire,"New Delhi, India",Healthwire is a leading digital platform bringing #news on Health & Wellness. We aim for a healthier tomorrow.,2019-03-10 04:59:04,4965,398,215,False,2021-01-13 10:51:49,"Pfizer Investigates Doctor’s Post-Vaccine Death For Possible Connection @pfizer 

#Covid19 #coronavirusupdates… https://t.co/6PTFbeGkvj","['Covid19', 'coronavirusupdates']",Twitter Web App,1,2,False
9556,1426289134864375810,OnExmoor: Retired Immunologist 😷,Exmoor-Soon to be Stavanger ,"Tick Awareness -Lyme Disease . https://t.co/VMynOlCBJt
Leaving Exmoor in September for Stavanger . 

Interests #Kinesiology #Hiking #NTFC",2021-02-12 13:40:33,148,162,2072,False,2021-08-13 21:06:43,I would not trust #PfizerBiontech - they act like Paul Singer the Vulture hedge fund owner-the @EMA were sucked int… https://t.co/Tg4TJU2bPn,['PfizerBiontech'],Twitter Web App,0,0,False
1236,1341882554383814659,Ali,Wiltshire & Shrewsbury too,"Amateur Gardner ;) 🌱 Expert predictive text unraveller 🤯 Big hearted fan of Pinot Gris 🥂   🥀   🌺   🌷 If it matters, we make time
❤️ Be kind ❤️",2013-04-21 12:22:10,2661,4942,25896,False,2020-12-23 23:05:06,"@sorcererpds @BorisJohnson Very very few residents in homes in England but in NI, Scotland &amp; Wales they have begun… https://t.co/irA6WMLBJ9",,Twitter for Android,0,1,False
1716,1343289129384226822,𝐼𝐼:𝐼𝐼 𝕯𝖎𝖌𝖎𝖙𝖆𝖑 𝕾𝖔𝖚𝖑𝖉𝖎𝖊𝖗 ☽☉☾,,"🇵🇱𝔓𝔬𝔩𝔦𝔰𝔥 𝔚𝔬𝔨𝔢 𝔖𝔬𝔲𝔩 𝔏𝔦𝔳𝔦𝔫𝔤 ℑ𝔫 𝔊𝔢𝔯𝔪𝔞𝔫𝔶🇩🇪
𝔖𝔭𝔦𝔯𝔦𝔱𝔲𝔞𝔩𝔣𝔩𝔲𝔢𝔫𝔠𝔢𝔯 🌒🌓🌔🌕🌖🌗🌘",2019-03-17 22:08:57,60,102,1294,False,2020-12-27 20:14:20,So you want to tell me that a vaccine that has to be stored at -70°C stays stable as soon as you take it out of the… https://t.co/ATuSv2qaPn,,Twitter for Android,0,0,False
203,1338209327375638530,Chris Hendel,"Vermont, US","Telecommuting Adjunct Research Instructor of Medicine @KeckMedUSC; COVID-19 projects w/ @ProPublica; former chief medical researcher @ConsumerReports, 1989-2018",2009-04-28 12:25:30,2249,3666,72782,False,2020-12-13 19:49:01,The Advisory Committee on Immunization Practices’ Interim Recommendation for Use of Pfizer-BioNTech COVID-19 Vaccin… https://t.co/591nsHMNKy,,Twitter Web App,0,0,False
10414,1436337739176239128,Derek James 💙 🇪🇺 #RejoinEU,EU Citizen,Political commentator. Holding UK Tories and US Republicans to account for their anti-democratic actions and abuse of power. All opinions are my own.🕷,2014-09-01 10:21:13,42623,4309,117662,False,2021-09-10 14:36:17,#PfizerBioNTech will soon introduce vaccines for 5 - 11 year olds and under 5s. They won't be the same as adult dos… https://t.co/hbKtfYrOEo,['PfizerBioNTech'],Twitter for Android,11,29,False
5997,1363908925909848068,"Zeina Moukarzel, MD,MPH,MHA #CovidVaccine 🙏",Based in Beirut,"Mom3🇱🇧🇨🇦|ICU,ANEST|طبّ عام|🚭|❤️ #MentalHealth|#Mindfulness|#MedTwitterWell advocate|Learner from patients stories |Founder @LamsaLebanon |Head PH @mestrate",2014-05-29 18:54:09,2318,2971,13163,False,2021-02-22 17:50:02,"Two doses in a 3-week schedule (94% efficacy) for BNT162b2; or, as recently supported by @WHO and @CDCgov , adopt n… https://t.co/8gJF2Y49Md",,Twitter for iPad,0,1,False
3084,1348346509688008706,Nemat Ma,,,2018-03-11 18:16:22,229,364,4280,False,2021-01-10 19:10:33,"#Iran:#Coronavirus Death Toll Exceeds199,300
.@Maryam_Rajavi:Khamenei’s Red Crescent announced a ban on importing15… https://t.co/cSZkQekfeE","['Iran', 'Coronavirus']",Twitter Web App,0,0,False
9362,1419756557529583625,Scallywagandvagabond,"Manhattan, NYC","Scallywag and Vagabond is a forum for critical reviews, interviews, insights, news reporting and dissection of events in the US.",2009-10-20 19:12:27,2573,1298,116,False,2021-07-26 20:28:35,"Could this happen to you? Minneapolis, Minnesota medical worker has both legs amputated after contracting COVID-19,… https://t.co/K0xHcgHXtI",,Twitter Web App,0,0,False
0,1340539111971516416,Rachel Roh,"La Crescenta-Montrose, CA","Aggregator of Asian American news; scanning diverse sources 24/7/365. RT's, Follows and 'Likes' will fuel me 👩‍💻",2009-04-08 17:52:46,405,1692,3247,False,2020-12-20 06:06:44,Same folks said daikon paste could treat a cytokine storm #PfizerBioNTech https://t.co/xeHhIMg1kF,['PfizerBioNTech'],Twitter for Android,0,0,False
9007,1413317247368523780,DHL Express Malaysia,Malaysia,"Global delivery specialists, helping businesses to grow globally through international trade. Follow us for export, import, ecommerce, and business advice.",2019-11-01 04:33:31,698,68,436,False,2021-07-09 02:01:04,"🥳Great Job team @DHLexpress New Zealand in our common fight against the coronavirus and living up the spirit of ""Co… https://t.co/VcXOS50FX6",,Twitter Web App,0,1,False
4380,1353297543610855424,DBentoBox,London,,2018-03-26 01:46:32,7,108,1143,False,2021-01-24 11:04:12,@RidgeOnSunday Can’t understand how #AnthonyHarnden can use data from the AstraZeneca vaccine (in itself discovered… https://t.co/m0kRbBvemZ,['AnthonyHarnden'],Twitter Web App,0,1,False
3071,1348376410130440193,"Kavin Arasar, MD","Chicago, IL","Cardiology Fellow, plant mom, and hotpot enthusiast",2020-09-21 22:52:12,26,29,80,False,2021-01-10 21:09:22,2nd dose  ✅ but it was a beast! Temp of 102F overnight but nothing 1000mg of Tylenol and sleeping for 12 hrs can’t… https://t.co/atdqdS1Wsk,,Twitter for iPhone,0,6,False
3214,1348609497825210372,Charlotte,,Current Student Nurse at University of Birmingham. Bsc in Human Biology.,2020-09-10 17:57:41,36,67,59,False,2021-01-11 12:35:34,"Just got my first Covid-19 #PfizerBioNTech Vaccine, would definitely encourage others to do the same when they’re i… https://t.co/bU1AdTo2E5",['PfizerBioNTech'],Twitter for iPhone,0,4,False
